"2014 rank";"City";"State[5]";"2014 estimate";"2010 Census";"Change";"2014 land area";"2010 population density";"Location"
1;"New York[6]";"New York";8491079;8175133;3.86%;"302.6 sq mi
783.8 km2";"27,012 per sq mi
10,430 km−2";"40.6643°N 73.9385°W"
2;"Los Angeles";"California";3928864;3792621;3.59%;"468.7 sq mi
1,213.9 km2";"8,092 per sq mi
3,124 km−2";"34.0194°N 118.4108°W"
3;"Chicago";"Illinois";2722389;2695598;0.99%;"227.6 sq mi
589.6 km2";"11,842 per sq mi
4,572 km−2";"41.8376°N 87.6818°W"
4;"Houston[7]";"Texas";2239558;2100263;6.63%;"599.6 sq mi
1,552.9 km2";"3,501 per sq mi
1,352 km−2";"29.7805°N 95.3863°W"
5;"Philadelphia[8]";"Pennsylvania";1560297;1526006;2.25%;"134.1 sq mi
347.3 km2";"11,379 per sq mi
4,394 km−2";"40.0094°N 75.1333°W"
6;"Phoenix";"Arizona";1537058;1445632;6.32%;"516.7 sq mi
1,338.3 km2";"2,798 per sq mi
1,080 km−2";"33.5722°N 112.0880°W"
7;"San Antonio";"Texas";1436697;1327407;8.23%;"460.9 sq mi
1,193.8 km2";"2,880 per sq mi
1,112 km−2";"29.4724°N 98.5251°W"
8;"San Diego";"California";1381069;1307402;5.63%;"325.2 sq mi
842.2 km2";"4,020 per sq mi
1,552 km−2";"32.8153°N 117.1350°W"
9;"Dallas";"Texas";1281047;1197816;6.95%;"340.5 sq mi
881.9 km2";"3,518 per sq mi
1,358 km−2";"32.7757°N 96.7967°W"
10;"San Jose";"California";1015785;945942;7.38%;"176.6 sq mi
457.3 km2";"5,359 per sq mi
2,069 km−2";"37.2969°N 121.8193°W"
11;"Austin";"Texas";912791;790390;15.49%;"322.48 sq mi
835.2 km2";"2,653 per sq mi
1,024 km−2";"30.3072°N 97.7560°W"
12;"Jacksonville[9]";"Florida";853382;821784;3.85%;"747.0 sq mi
1,934.7 km2";"1,120 per sq mi
433 km−2";"30.3370°N 81.6613°W"
